County,Type,Bedrooms,Price_sales,Price_rent
Kajiado,House,1,13000000.0,10000.0
Kajiado,House,2,33080000.0,35000.0
Kajiado,House,3,8046212.12,48333.33
Kajiado,House,4,13015714.29,76666.67
Kajiado,House,5,26666600.0,130000.0
Kajiado,Townhouse,3,10167647.06,70000.0
Kajiado,Townhouse,4,16392857.14,100000.0
Kajiado,Villa,3,11283333.33,40000.0
Kiambu,House,2,900000.0,125000.0
Kiambu,House,3,10049090.89,88600.0
Kiambu,House,4,23874561.4,142000.0
Kiambu,House,6,40500000.0,421000.0
Kiambu,Townhouse,3,13781250.0,65000.0
Kiambu,Townhouse,4,20051818.18,166350.0
Kiambu,Townhouse,5,20185714.29,350000.0
Kiambu,Villa,4,26359523.81,173750.0
Kiambu,Villa,6,44666666.67,400000.0
Kilifi,House,3,39445461.54,115000.0
Kilifi,House,4,78203514.87,266666.67
Kilifi,Townhouse,3,11835185.19,113750.0
Kilifi,Townhouse,4,15730000.0,100000.0
Kilifi,Villa,2,11250000.0,8500.0
Kilifi,Villa,3,40909090.91,49000.0
Kilifi,Villa,4,56136363.64,250000.0
Kilifi,Villa,5,76166666.67,120000.0
Kwale,House,3,24249750.0,150000.0
Kwale,Villa,4,31333166.67,30000.0
Laikipia,House,2,6350000.0,95000.0
Laikipia,House,3,27600000.0,76666.67
Machakos,House,3,12066250.0,59000.0
Machakos,House,4,17902500.0,50000.0
Machakos,House,5,27500000.0,220000.0
Machakos,Townhouse,3,12714285.71,72500.0
Machakos,Townhouse,4,19254545.45,175000.0
Machakos,Townhouse,5,17000000.0,135000.0
Mombasa,House,2,12890000.0,40000.0
Mombasa,House,3,29113636.36,59400.0
Mombasa,House,4,57890909.09,146666.67
Mombasa,House,5,79979166.67,200714.29
Mombasa,House,6,103700000.0,380000.0
Mombasa,House,7,107500000.0,270000.0
Mombasa,House,8,85000000.0,250000.0
Mombasa,House,10,37285714.29,230000.0
Mombasa,Townhouse,3,19592500.0,83333.33
Mombasa,Townhouse,4,38392888.89,145625.0
Mombasa,Townhouse,5,54000000.0,85000.0
Mombasa,Villa,3,19550000.0,58333.33
Mombasa,Villa,4,55353225.81,129000.0
Mombasa,Villa,5,106857142.86,210714.29
Nairobi,House,1,8500000.0,97716.07
Nairobi,House,2,25125000.0,187266.92
Nairobi,House,3,38450000.0,272478.12
Nairobi,House,4,95048192.0,388247.48
Nairobi,House,5,144166403.58,472530.22
Nairobi,House,6,172636363.64,679334.53
Nairobi,House,7,203225000.0,771784.33
Nairobi,House,8,200000000.0,700000.0
Nairobi,House,9,228875000.0,575000.0
Nairobi,House,10,146250000.0,575000.0
Nairobi,Townhouse,2,96000000.0,218125.0
Nairobi,Townhouse,3,30898333.27,254536.59
Nairobi,Townhouse,4,61551136.36,314388.13
Nairobi,Townhouse,5,89480927.84,389761.83
Nairobi,Townhouse,6,102370869.57,474615.38
Nairobi,Townhouse,7,146250000.0,639000.0
Nairobi,Villa,3,51316666.67,283375.0
Nairobi,Villa,4,76368461.54,380818.18
Nairobi,Villa,5,111672857.14,518252.14
Nairobi,Villa,6,148666666.67,511666.67
Nairobi,Villa,7,315500000.0,460000.0
Nakuru,House,2,34000000.0,45000.0
Nakuru,House,3,5790000.0,100000.0
