Title,URL,Location,Price,Bedrooms,Type,County
3 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-lavington-3737688,Lavington,480000,3,House,Nairobi
4 Bed House with En Suite at Hardy,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-hardy-3737207,Karen Hardy,210000,4,House,Nairobi
4 Bed Villa with Garden in Thigiri,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-thigiri-3728549,Westlands Thigiri,520000,4,Villa,Nairobi
5 Bed House with En Suite in Gigiri,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-gigiri-3738694,Westlands Gigiri,400000,5,House,Nairobi
6 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-runda-3738692,Westlands Runda,450000,6,House,Nairobi
4 Bed Townhouse with En Suite at Lavington Green,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3738685,Lavington,230000,4,Townhouse,Nairobi
5 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/furnished-5-bedroom-house-for-rent-runda-3738672,Westlands Runda,450000,5,House,Nairobi
4 Bed House with En Suite at Mimosa,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3738666,Westlands Runda,300000,4,House,Nairobi
3 Bed House with En Suite at Mimosa,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-runda-3738662,Westlands Runda,130000,3,House,Nairobi
4 Bed Townhouse with En Suite in Runda,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-runda-3738661,Westlands Runda,585000,4,Townhouse,Nairobi
5 Bed Townhouse with En Suite in Runda,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-runda-3738656,Westlands Runda,500000,5,Townhouse,Nairobi
7 Bed Townhouse with En Suite in Kitisuru,https://www.buyrentkenya.com/listings/7-bedroom-townhouse-for-rent-kitisuru-3738650,Westlands Kitisuru,1000000,7,Townhouse,Nairobi
2 Bed Townhouse with En Suite in Runda,https://www.buyrentkenya.com/listings/furnished-2-bedroom-townhouse-for-rent-runda-3738647,Westlands Runda,120000,2,Townhouse,Nairobi
5 Bed Villa with En Suite in Runda,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-runda-3738646,Westlands Runda,561000,5,Villa,Nairobi
3 Bed House with En Suite at Mukima,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-nanyuki-3738627,Nanyuki,85000,3,House,Laikipia
4 Bed Townhouse with Staff Quarters in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3738594,Lavington,380000,4,Townhouse,Nairobi
4 Bed House with En Suite in Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kiambu-road-3738589,Kiambu Road,260000,4,House,Nairobi
5 Bed Villa with En Suite at Miotoni,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-karen-3734223,Karen,650000,5,Villa,Nairobi
5 Bed House with En Suite in Muthaiga,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-muthaiga-3738576,Muthaiga,580000,5,House,Nairobi
2 Bed House with En Suite in Kyuna,https://www.buyrentkenya.com/listings/2-bedroom-house-for-rent-kyuna-3738579,Westlands Kyuna,52000,2,House,Nairobi
4 Bed House with En Suite at Runda,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3738575,Westlands Runda,400000,4,House,Nairobi
4 Bed House with En Suite at Pan African Insurance,https://www.buyrentkenya.com/listings/furnished-4-bedroom-house-for-rent-runda-3738573,Westlands Runda,250000,4,House,Nairobi
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3738561,Lavington,350000,5,Townhouse,Nairobi
5 Bed House with En Suite in Karen,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3738556,Karen,600000,5,House,Nairobi
4 Bed Townhouse with En Suite at Kileleshwa Estate,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kileleshwa-3738554,Kileleshwa,200000,4,Townhouse,Nairobi
5 Bed Villa with En Suite at Academy Road,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-karen-3671472,Karen,450000,5,Villa,Nairobi
4 Bed House with En Suite at Bomas,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3733967,Karen,150000,4,House,Nairobi
4 Bed Townhouse with En Suite at Lavington,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3736636,Lavington,220000,4,Townhouse,Nairobi
5 Bed House with En Suite in Karen,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3738551,Karen,400000,5,House,Nairobi
3 Bed House with En Suite in Kilimani,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-kilimani-3738547,Kilimani,110000,3,House,Nairobi
4 Bed Villa with En Suite in Runda,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-runda-3738542,Westlands Runda,430000,4,Villa,Nairobi
4 Bed House with En Suite at Fair Acres,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3738543,Karen,220000,4,House,Nairobi
5 Bed House with En Suite at Karen Plains,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3738541,Karen,280000,5,House,Nairobi
3 Bed House with Staff Quarters at Windy Ridge,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-karen-3738538,Karen,200000,3,House,Nairobi
5 Bed Townhouse with En Suite at Convent Drive,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3738357,Lavington,350000,5,Townhouse,Nairobi
6 Bed House with En Suite in Karen,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-karen-3738535,Karen,370000,6,House,Nairobi
4 Bed Townhouse with En Suite in Kileleshwa,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kileleshwa-3738528,Kileleshwa,140000,4,Townhouse,Nairobi
4 Bed Townhouse with En Suite at Kileleshwa Estate,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kileleshwa-3738521,Kileleshwa,210000,4,Townhouse,Nairobi
