Title,URL,Location,Price,Bedrooms,Type,County
4 Bed Townhouse with En Suite in Nyali Area,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-nyali-area-3737444,Nyali Area,8700000,4,Townhouse,Mombasa
4 Bed House with En Suite at Nyali Links Road,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-nyali-area-3732384,Nyali Area,40000000,4,House,Mombasa
4 Bed House with En Suite at Mushroom Estate,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3737066,Kiambu Road,158500000,4,House,Nairobi
5 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3738684,Westlands Runda,85000000,5,House,Nairobi
4 Bed Townhouse with En Suite at Eastern Bypass,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-ruiru-3738682,Ruiru,14600000,4,Townhouse,Kiambu County
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3738635,Lavington,60000000,5,Townhouse,Nairobi
4 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3738633,Lavington,47000000,4,Townhouse,Nairobi
4 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3738628,Lavington,72000000,4,Townhouse,Nairobi
5 Bed Townhouse with En Suite at Off Convent Road,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3738601,Lavington,65000000,5,Townhouse,Nairobi
4 Bed Villa with En Suite at Namanga Road,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kitengela-3738600,Kitengela,15000000,4,Villa,Kajiado County
3 Bed House with En Suite at Kiambu Road,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kiambu-road-3738599,Kiambu Road,35000000,3,House,Nairobi
4 Bed House with En Suite at Loresho,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-loresho-3722934,Westlands Loresho,93000000,4,House,Nairobi
4 Bed House with En Suite at Lavington,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-lavington-3730207,Lavington,76000000,4,House,Nairobi
5 Bed House with En Suite at Gigiri,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-gigiri-3738564,Westlands Gigiri,75000000,5,House,Nairobi
3 Bed House with En Suite at Safaricom,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3738311,Kitengela,8000000,3,House,Kajiado County
3 Bed House with En Suite at Mugutha Area,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ruiru-3738313,Ruiru,11000000,3,House,Kiambu County
4 Bed House with En Suite at Mugutha Area,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ruiru-3738315,Ruiru,13500000,4,House,Kiambu County
3 Bed House with En Suite at Acacia Area,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3738317,Kitengela,6500000,3,House,Kajiado County
5 Bed Villa with En Suite at Hardy Estate.,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-karen-3738536,Karen,500000000,5,Villa,Nairobi
5 Bed House with En Suite at Chalbi Drive,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3738318,Lavington,65000000,5,House,Nairobi
3 Bed House with En Suite at Olkeri Area,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ngong-3738322,Ngong,8500000,3,House,Kajiado County
3 Bed House with En Suite at Kibiko Area,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ngong-3738323,Ngong,9800000,3,House,Kajiado County
4 Bed Townhouse with En Suite at Kileleshwa Estate,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kileleshwa-3738529,Kileleshwa,55000000,4,Townhouse,Nairobi
3 Bed House with En Suite at Kibiko Area,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ngong-3738324,Ngong,13800000,3,House,Kajiado County
4 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3738507,Lavington,47000000,4,Townhouse,Nairobi
3 Bed House with Staff Quarters at Mbagathi Road,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ngumo-estate-3735510,Ngumo Estate,16000000,3,House,Nairobi
4 Bed House with En Suite at Lavington,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-lavington-3735623,Lavington,78000000,4,House,Nairobi
3 Bed House with En Suite at Coca Cola Kanamai,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-mtwapa-3721065,Mtwapa,6950000,3,House,Kilifi County
6 Bed Townhouse with En Suite at Kiambu,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-kiambu-road-3738503,Kiambu Road,23000000,6,Townhouse,Nairobi
4 Bed House with En Suite at Off Unep Avenue,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-gigiri-3738325,Westlands Gigiri,80000000,4,House,Nairobi
4 Bed House with Swimming Pool at Off Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3738326,Kiambu Road,40000000,4,House,Nairobi
4 Bed Townhouse at Gitanga Road,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3738465,Lavington,25000000,4,Townhouse,Nairobi
4 Bed House with Staff Quarters at Off Unep Avenue,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-gigiri-3738328,Westlands Gigiri,90000000,4,House,Nairobi
4 Bed House with En Suite at Greenspot Gardens,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-eastern-bypass-3738332,Ruiru Eastern ByPass,24000000,4,House,Kiambu County
3 Bed House with En Suite at Acacia Area,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3738333,Kitengela,6500000,3,House,Kajiado County
3 Bed Townhouse with En Suite in Kitengela,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kitengela-3738483,Kitengela,6500000,3,Townhouse,Kajiado County
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3738334,Lavington,88000000,5,Townhouse,Nairobi
5 Bed House with En Suite at New Kitisuru Estate,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kitisuru-3738335,Westlands Kitisuru,125000000,5,House,Nairobi
6 Bed Townhouse with En Suite at Olkeri,https://www.buyrentkenya.com/listings/furnished-6-bedroom-townhouse-for-sale-ngong-3738336,Ngong,52000000,6,Townhouse,Kajiado County
4 Bed House with En Suite at Owashika Road,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-lavington-3738337,Lavington,59000000,4,House,Nairobi
4 Bed House with En Suite at Karen Plains,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3738340,Karen,85000000,4,House,Nairobi
5 Bed House with En Suite at Rimpa Road,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-ongata-rongai-3738343,Ongata Rongai,30000000,5,House,Kajiado County
3 Bed House with En Suite at Rimpa Road,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ongata-rongai-3738344,Ongata Rongai,7500000,3,House,Kajiado County
4 Bed House with En Suite at Runda Drive,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3738346,Westlands Runda,110000000,4,House,Nairobi
5 Bed House with En Suite at Safari Park Avenue,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kasarani-3738348,Kasarani,62000000,5,House,Nairobi
4 Bed House with En Suite at Gateway Mall,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-syokimau-3738350,Syokimau,18000000,4,House,Machakos County
4 Bed House with En Suite at Mugutha Area,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ruiru-3738351,Ruiru,28000000,4,House,Kiambu County
4 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3738456,Lavington,47000000,4,Townhouse,Nairobi
4 Bed House at Kitisuru,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitisuru-3738437,Westlands Kitisuru,325000000,4,House,Nairobi
4 Bed Townhouse with En Suite at Kamaki,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kamakis-3738342,Ruiru Kamakis,20000000,4,Townhouse,Kiambu County
3 Bed House with En Suite at Near Nairobi - Mombasa Expressway,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-athi-river-area-2-3598432,Athi River,10250000,3,House,Machakos County
4 Bed House with En Suite at Portreitz,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-mombasa-cbd-3666798,Island CBD,28000000,4,House,Mombasa
3 Bed Villa with En Suite at Kilifi,https://www.buyrentkenya.com/listings/furnished-3-bedroom-villa-for-sale-kilifi-town-3730646,County,125000000,3,Villa,Kilifi
4 Bed House with En Suite in Kitisuru,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitisuru-3738401,Westlands Kitisuru,130000000,4,House,Nairobi
3 Bed Townhouse with En Suite in Langata,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-langata-3738365,Langata,18500000,3,Townhouse,Nairobi
4 Bed House with En Suite in Kikuyu Town,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kikuyu-town-3734170,Kikuyu Town,22000000,4,House,Kiambu County
5 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3738359,Westlands Runda,150000000,5,House,Nairobi
4 Bed Townhouse with En Suite in Westlands Area,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3738356,Westlands Area,75000000,4,Townhouse,Nairobi
6 Bed Villa with En Suite in Kiambu Road,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-kiambu-road-3737898,Kiambu Road,140000000,6,Villa,Nairobi
4 Bed Villa with En Suite in Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kiambu-road-3736019,Kiambu Road,28000000,4,Villa,Nairobi
4 Bed Villa with En Suite in Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kiambu-road-3738310,Kiambu Road,34000000,4,Villa,Nairobi
5 Bed Villa with Swimming Pool in Karen,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-karen-3738290,Karen,140000000,5,Villa,Nairobi
4 Bed House with Garden in Kitisuru,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitisuru-3738288,Westlands Kitisuru,120000000,4,House,Nairobi
4 Bed Townhouse with En Suite at Links Road,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-nyali-area-3738283,Nyali Area,38000000,4,Townhouse,Mombasa
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3712574,Lavington,85000000,5,Townhouse,Nairobi
4 Bed House with En Suite at Membley Estate,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-membley-3733939,Ruiru Membley,28000000,4,House,Kiambu County
6 Bed Townhouse with En Suite at Kiambu Road Thindigua,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-kiambu-road-3736996,Kiambu Road,140000000,6,Townhouse,Nairobi
5 Bed Villa with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3738249,Lavington,125000000,5,Villa,Nairobi
7 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-runda-3736700,Westlands Runda,150000000,7,House,Nairobi
4 Bed House with En Suite in Kileleshwa,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kileleshwa-3738220,Kileleshwa,23000000,4,House,Nairobi
4 Bed Townhouse with En Suite in Ngong Road,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-ngong-road-3738218,Ngong Road,35000000,4,Townhouse,Nairobi
4 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3738205,Lavington,47000000,4,Townhouse,Nairobi
4 Bed House with En Suite at Gigiri,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-gigiri-3738190,Westlands Gigiri,73000000,4,House,Nairobi
5 Bed Townhouse with En Suite at Kitisuru,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kitisuru-3738177,Westlands Kitisuru,120000000,5,Townhouse,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3738138,Lavington,90000000,5,House,Nairobi
3 Bed House with En Suite at Casurina Road,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-malindi-3604465,Malindi,12499000,3,House,Kilifi County
3 Bed Villa with En Suite at Mtwapa,https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-mtwapa-3680467,Mtwapa,38500000,3,Villa,Kilifi County
4 Bed Townhouse with En Suite in Ruiru,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-ruiru-3730624,Ruiru,15000000,4,Townhouse,Kiambu County
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3738135,Lavington,56000000,5,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3738133,Lavington,120000000,5,House,Nairobi
3 Bed Townhouse with En Suite at Syokimao Estate,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-syokimau-3738113,Syokimau,10000000,3,Townhouse,Machakos County
